BinSize,HistoryBins,Normalize,PCA_Variance,RMSE,PredictionError
20,8,1,90,NaN,NaN
20,8,1,95,NaN,NaN
20,8,1,99,NaN,NaN
20,8,0,90,NaN,NaN
20,8,0,95,NaN,NaN
20,8,0,99,NaN,NaN
20,10,1,90,NaN,NaN
20,10,1,95,NaN,NaN
20,10,1,99,NaN,NaN
20,10,0,90,NaN,NaN
20,10,0,95,NaN,NaN
20,10,0,99,NaN,NaN
20,12,1,90,NaN,NaN
20,12,1,95,NaN,NaN
20,12,1,99,NaN,NaN
20,12,0,90,NaN,NaN
20,12,0,95,NaN,NaN
20,12,0,99,NaN,NaN
30,8,1,90,NaN,NaN
30,8,1,95,NaN,NaN
30,8,1,99,NaN,NaN
30,8,0,90,NaN,NaN
30,8,0,95,NaN,NaN
30,8,0,99,NaN,NaN
30,10,1,90,NaN,NaN
30,10,1,95,NaN,NaN
30,10,1,99,NaN,NaN
30,10,0,90,NaN,NaN
30,10,0,95,NaN,NaN
30,10,0,99,NaN,NaN
30,12,1,90,NaN,NaN
30,12,1,95,NaN,NaN
30,12,1,99,NaN,NaN
30,12,0,90,NaN,NaN
30,12,0,95,NaN,NaN
30,12,0,99,NaN,NaN
40,8,1,90,NaN,NaN
40,8,1,95,NaN,NaN
40,8,1,99,NaN,NaN
40,8,0,90,NaN,NaN
40,8,0,95,NaN,NaN
40,8,0,99,NaN,NaN
40,10,1,90,NaN,NaN
40,10,1,95,NaN,NaN
40,10,1,99,NaN,NaN
40,10,0,90,NaN,NaN
40,10,0,95,NaN,NaN
40,10,0,99,NaN,NaN
40,12,1,90,NaN,NaN
40,12,1,95,NaN,NaN
40,12,1,99,NaN,NaN
40,12,0,90,NaN,NaN
40,12,0,95,NaN,NaN
40,12,0,99,NaN,NaN
